,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,Unnamed: 10,RainStatus,SnowStatus,weatherType,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES
40,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/10/14,7.16,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",10,",,W,",,,29,",,W",21,",,W",,,310,",,W",320,",,W",15,",,W",25.9,",,W",,,,,,,,,,
41,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/11/14,5.37,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",10,",,W,",,,26,",,W",16,",,W",,,280,",,W",270,",,W",14.1,",,W",19.9,",,W",,,,,,,,,,
42,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/12/14,5.82,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",10,",,W,",,,25,",,W",13,",,W",,,60,",,W",50,",,W",14.1,",,W",19,",,W",,,,,,,,,,
43,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/13/14,12.53,",,W",,,,1,1,1,1.78,",,W,2400",9.5,",,W,",12,",,W,",,,36,",,W",24,",,W",,,60,",,W",80,",,W",25.1,",,W",38.9,",,W",,,,,,,,,,
44,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/14/14,10.51,",,W",,,,1,1,1,0.3,",,W,2400",3,",,W,",18,",,W,",,,40,",,W",31,",,W",,,290,",,W",280,",,W",21.9,",,W",38,",,W",,,,,,,,,,
45,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/15/14,9.4,",,W",,,,1,1,1,0.13,",,W,2400",1.6,",,W,",18,",,W,",,,37,",,W",27,",,W",,,60,",,W",310,",,W",18.1,",,W",29.1,",,W",,,,,,,,,,
46,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/16/14,8.95,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",18,",,W,",,,30,",,W",21,",,W",,,310,",,W",300,",,W",18.1,",,W",31.1,",,W",,,,,,,,,,
47,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/17/14,5.37,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",17,",,W,",,,32,",,W",18,",,W",,,310,",,W",300,",,W",16.1,",,W",23.9,",,W",,,,,,,,,,
48,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/18/14,5.14,",,W",,,,1,1,1,0.16,",,W,2400",1.5,",,W,",18,",,W,",,,39,",,W",26,",,W",,,280,",,W",280,",,W",16.1,",,W",30,",,W",,,,,,,,,,
49,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/19/14,5.14,",,W",,,,1,0,0,0.26,",,W,2400",0,",,W,",17,",,W,",,,45,",,W",34,",,W",,,150,",,W",290,",,W",16.1,",,W",25.9,",,W",,,,,,,,,,
50,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/20/14,4.92,",,W",,,,1,0,0,0.03,",,W,2400",0,",,W,",15,",,W,",,,51,",,W",37,",,W",,,160,",,W",180,",,W",14.1,",,W",19.9,",,W",,,,,,,,,,
51,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/21/14,7.38,",,W",,,,1,0,0,0.09,",,W,2400",0,",,W,",13,",,W,",,,49,",,W",36,",,W",,,290,",,W",290,",,W",21,",,W",32,",,W",,,,,,,,,,
52,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/22/14,7.16,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",10,",,W,",,,54,",,W",40,",,W",,,260,",,W",260,",,W",17,",,W",29.1,",,W",,,,,,,,,,
53,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/23/14,5.37,",,W",,,,0,0,0,0,"T,,W,2400",0,",,W,",9,",,W,",,,54,",,W",43,",,W",,,290,",,W",300,",,W",18.1,",,W",30,",,W",,,,,,,,,,
54,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/24/14,9.4,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",6,",,W,",,,44,",,W",27,",,W",,,320,",,W",280,",,W",17,",,W",28,",,W",,,,,,,,,,
55,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/25/14,6.93,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",6,",,W,",,,33,",,W",24,",,W",,,280,",,W",280,",,W",18.1,",,W",27.1,",,W",,,,,,,,,,
56,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/26/14,5.37,",,W",,,,1,1,1,0.03,",,W,2400",0.2,",,W,",6,",,W,",,,31,",,W",20,",,W",,,320,",,W",300,",,W",17,",,W",29.1,",,W",,,,,,,,,1,",,W"
57,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/27/14,8.5,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",6,",,W,",,,34,",,W",14,",,W",,,290,",,W",290,",,W",21,",,W",38.9,",,W",,,,,,,,,1,",,W"
58,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/28/14,4.7,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",6,",,W,",,,24,",,W",9,",,W",,,280,",,W",330,",,W",15,",,W",25.1,",,W",,,,,,,,,,
59,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/1/14,4.47,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",6,",,W,",,,37,",,W",20,",,W",,,260,",,W",260,",,W",12.1,",,W",16.1,",,W",,,,,,,,,,
60,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/2/14,3.8,",,W",,,,0,0,0,0,"T,,W,2400",0,"T,,W,",5,",,W,",,,40,",,W",32,",,W",,,260,",,W",250,",,W",13,",,W",19.9,",,W",,,,,,,,,1,",,W"
61,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/3/14,6.71,",,W",,,,1,1,1,0.04,",,W,2400",0.1,",,W,",5,",,W,",,,32,",,W",17,",,W",,,360,",,W",340,",,W",16.1,",,W",23.9,",,W",,,,,,,,,1,",,W"
62,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/4/14,4.7,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",5,",,W,",,,29,",,W",13,",,W",,,40,",,W",40,",,W",13,",,W",19,",,W",,,,,,,,,,
63,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/5/14,5.14,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",4,",,W,",,,39,",,W",26,",,W",,,30,",,W",40,",,W",17,",,W",25.1,",,W",,,,,,,,,,
64,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/6/14,8.5,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",4,",,W,",,,31,",,W",16,",,W",,,50,",,W",10,",,W",17,",,W",23,",,W",,,,,,,,,,
